case_id,record_id,case_type,adjudication_category,detail_type,inventory_condition,prediction,truth_label,evidence_start,evidence_end,adjudication_reason
ADA_CurbRampPt_18645::inventory,ADA_CurbRampPt_18645,inventory_truth_disagreement,imagery_insufficient,historical_cause_unresolved,Fair,ramp_present,ramp_absent,2020-12-10,2024-12-28,"Current images support ramp absent between 2020-12-10 and 2024-12-28, but no dated 2016 reference establishes whether the inventory was incorrect or the site changed later."
ADA_CurbRampPt_18645::target_model,ADA_CurbRampPt_18645,target_model_truth_disagreement,model_wrong,model_wrong,Fair,ramp_present,ramp_absent,,,Target-centered prediction ramp_present disagreed with resolved human truth ramp_absent.
ADA_CurbRampPt_19095::evidence,ADA_CurbRampPt_19095,truth_eligibility,imagery_insufficient,current_imagery_insufficient,Missing,,cannot_determine,,,Both blind label passes resolved to cannot_determine under the frozen protocol.
ADA_CurbRampPt_20386::target_model,ADA_CurbRampPt_20386,target_model_truth_disagreement,model_wrong,model_wrong,Good,ramp_absent,ramp_present,,,Target-centered prediction ramp_absent disagreed with resolved human truth ramp_present.
ADA_CurbRampPt_22233::evidence,ADA_CurbRampPt_22233,truth_eligibility,imagery_insufficient,current_imagery_insufficient,Non-Compliant,,cannot_determine,,,Both blind label passes resolved to cannot_determine under the frozen protocol.
ADA_CurbRampPt_23006::inventory,ADA_CurbRampPt_23006,inventory_truth_disagreement,imagery_insufficient,historical_cause_unresolved,Non-Compliant,ramp_present,ramp_absent,2025-12-03,2025-12-03,"Current images support ramp absent on 2025-12-03, but no dated 2016 reference establishes whether the inventory was incorrect or the site changed later."
ADA_CurbRampPt_23006::target_model,ADA_CurbRampPt_23006,target_model_truth_disagreement,model_wrong,model_wrong,Non-Compliant,ramp_present,ramp_absent,,,Target-centered prediction ramp_present disagreed with resolved human truth ramp_absent.
ADA_CurbRampPt_2568::target_model,ADA_CurbRampPt_2568,target_model_truth_disagreement,model_wrong,model_wrong,Missing,ramp_present,ramp_absent,,,Target-centered prediction ramp_present disagreed with resolved human truth ramp_absent.
ADA_CurbRampPt_27682::evidence,ADA_CurbRampPt_27682,truth_eligibility,imagery_insufficient,current_imagery_insufficient,Fair,,cannot_determine,,,Both blind label passes resolved to cannot_determine under the frozen protocol.
ADA_CurbRampPt_28492::inventory,ADA_CurbRampPt_28492,inventory_truth_disagreement,imagery_insufficient,historical_cause_unresolved,Good,ramp_present,ramp_absent,2019-07-27,2019-12-19,"Current images support ramp absent between 2019-07-27 and 2019-12-19, but no dated 2016 reference establishes whether the inventory was incorrect or the site changed later."
ADA_CurbRampPt_3245::inventory,ADA_CurbRampPt_3245,inventory_truth_disagreement,imagery_insufficient,historical_cause_unresolved,Fair,ramp_present,ramp_absent,2020-11-02,2021-12-06,"Current images support ramp absent between 2020-11-02 and 2021-12-06, but no dated 2016 reference establishes whether the inventory was incorrect or the site changed later."
ADA_CurbRampPt_3245::target_model,ADA_CurbRampPt_3245,target_model_truth_disagreement,model_wrong,model_wrong,Fair,ramp_present,ramp_absent,,,Target-centered prediction ramp_present disagreed with resolved human truth ramp_absent.
ADA_CurbRampPt_6680::inventory,ADA_CurbRampPt_6680,inventory_truth_disagreement,imagery_insufficient,historical_cause_unresolved,Non-Compliant,ramp_present,ramp_absent,2023-12-08,2023-12-08,"Current images support ramp absent on 2023-12-08, but no dated 2016 reference establishes whether the inventory was incorrect or the site changed later."
ADA_CurbRampPt_6680::target_model,ADA_CurbRampPt_6680,target_model_truth_disagreement,model_wrong,model_wrong,Non-Compliant,ramp_present,ramp_absent,,,Target-centered prediction ramp_present disagreed with resolved human truth ramp_absent.
